"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T01","01",07-SEP-94,11,25,"SJC","1",16.8,80,2,23
"T04","01",07-SEP-94,14,0,"JKA","1",15,90,2,23
"T05","01",09-SEP-94,11,30,"KT","1",15,80,5,24
"T09","01",09-SEP-94,14,0,"HT","1",19,70,4,24
"T07","01",09-SEP-94,11,35,"AB","1",,60,3,24
"T08","01",09-SEP-94,13,40,"MDM","1",17,90,5,24
"T04","02",10-SEP-94,12,30,"IHF","1",13.5,50,3,24
"T02","02",12-SEP-94,,,"","",,,,24
"T02","01",12-SEP-94,14,50,"SW","2",14.5,70,3,24
"T10","01",13-SEP-94,13,5,"RJR","2",18,80,3,24
"T06","01",13-SEP-94,11,45,"JEB","4",24,100,2,24
"T05","01",13-SEP-94,11,25,"KT","1",16,90,5,24
"T01","01",13-SEP-94,13,40,"SJC","1",17,50,1,24
"T03","01",14-SEP-94,10,55,"HDN","2",15,20,3,24
"T05","01",16-SEP-94,11,0,"KT","1",13,80,5,25
"T09","01",21-SEP-94,14,5,"HT","1",16,100,1,25
"T03","01",21-SEP-94,11,45,"RA","1",16,100,2,25
"T04","01",21-SEP-94,14,25,"ASG","7",13,60,3,25
"T06","01",21-SEP-94,14,40,"JEB","4",25,70,4,25
"T04","02",21-SEP-94,11,30,"IHF","1",12,100,2,25
"T02","01",22-SEP-94,15,25,"SW","2",19.5,100,1,25
"T08","01",22-SEP-94,13,50,"MDM","1",17,60,4,25
"T10","01",22-SEP-94,14,15,"CB","1",17,80,4,25
"T02","02",22-SEP-94,,,"","",,,,25
"T04","02",23-SEP-94,11,30,"IHF","1",18,100,1,26
"T01","01",23-SEP-94,14,10,"SJC","1",18.5,100,4,26
"T05","01",23-SEP-94,11,30,"KT","1",16,0,4,26
"T09","01",26-SEP-94,14,20,"HT","1",18,70,2,26
"T08","01",27-SEP-94,11,20,"MDM","1",17,100,2,26
"T05","01",27-SEP-94,11,30,"KT","1",15,100,4,26
"T10","01",27-SEP-94,13,50,"CB","1",18,100,4,26
"T06","01",27-SEP-94,11,55,"JEB","4",26,100,3,26
"T03","01",29-SEP-94,11,30,"RA","1",15,50,4,26
"T01","01",01-APR-95,10,40,"SJC","1",16.5,70,4,1
"T09","01",01-APR-95,12,25,"HT","1",18,100,3,1
"T06","01",01-APR-95,13,10,"JEB","4",18.5,90,4,1
"T10","01",03-APR-95,14,10,"CB","1",16,90,3,1
"T03","01",06-APR-95,13,15,"HDN","2",16.5,100,3,1
"T08","01",06-APR-95,13,45,"MT","3",16.2,100,4,1
"T06","01",09-APR-95,12,15,"JEB","4",12.6,100,2,2
"T02","02",10-APR-95,,,"","",,,,2
"T01","01",10-APR-95,11,5,"SJC","1",13.8,90,3,2
"T05","01",10-APR-95,11,30,"KT","1",13,100,2,2
"T02","01",10-APR-95,13,40,"SW","2",12.6,100,2,2
"T08","01",11-APR-95,11,5,"MDM","1",14.3,100,4,2
"T10","01",11-APR-95,12,47,"CB","1",17,100,2,2
"T03","01",12-APR-95,11,0,"HDN","2",17.5,70,2,2
"T07","01",13-APR-95,12,5,"TGC","2",16,100,1,2
"T09","01",14-APR-95,14,45,"HT","1",17,100,2,2
"T09","01",20-APR-95,13,10,"HT","1",14,100,3,3
"T10","01",21-APR-95,14,30,"CB","1",13,100,2,3
"T08","01",25-APR-95,15,25,"MDM","1",19,100,5,4
"T10","01",25-APR-95,14,40,"CB","1",19,70,4,4
"T06","01",25-APR-95,12,0,"JEB","4",19.1,100,3,4
"T09","01",25-APR-95,13,0,"HT","1",19,100,3,4
"T01","01",25-APR-95,13,20,"SJC","1",15.5,100,5,4
"T05","01",26-APR-95,12,30,"KT","1",17,70,3,4
"T03","01",26-APR-95,11,45,"HDN","2",16.5,100,3,4
"T02","01",01-MAY-95,15,25,"SW","2",14,90,4,5
"T06","01",01-MAY-95,12,21,"JEB","4",17.8,100,3,5
"T08","01",01-MAY-95,15,10,"MDM","1",17,100,1,5
"T02","02",01-MAY-95,,,"","",,,,5
"T09","01",01-MAY-95,13,0,"HT","1",19,100,1,5
"T07","01",01-MAY-95,14,0,"JLS","3",17.5,100,1,5
"T01","01",02-MAY-95,11,40,"SJC","1",19.5,100,2,5
"T05","01",03-MAY-95,11,15,"KT","1",20,100,4,5
"T04","01",03-MAY-95,15,0,"ASG","7",19,100,3,5
"T03","01",03-MAY-95,10,55,"HDN","2",17.5,90,4,5
